power_cap,pred_rank,true_rank,pred_optimal_gpu,true_optimal_gpu,selected_target,max_gpu,max_gpu_target,target_1gpu,target_2gpu,target_3gpu,target_4gpu,improve_vs_max_gpu_pct,improve_vs_1gpu_pct,improve_vs_2gpu_pct,improve_vs_3gpu_pct,improve_vs_4gpu_pct
800,"[3, 4, 2, 1]","[3, 4, 2, 1]",3,3,98.80008244514465,4,98.84085988998413,128.0044128894806,107.77409672737122,98.80008244514465,98.84085988998413,0.04125565569225653,22.81509659323312,8.326689394509623,0.0,0.04125565569225653
900,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,97.1870608329773,4,97.1870608329773,130.36110424995422,108.5236611366272,99.65018320083618,97.1870608329773,0.0,25.4478079238797,10.446201487229176,2.4717690311664358,0.0
1000,"[4, 3, 2, 1]","[3, 4, 2, 1]",4,3,98.80888605117798,4,98.80888605117798,130.3572211265564,107.76813077926636,98.74497127532959,98.80888605117798,0.0,24.201447992474414,8.31344541591702,-0.06472711979446098,0.0
1200,"[3, 4, 2, 1]","[3, 4, 2, 1]",3,3,97.95201802253723,4,98.76827478408813,129.61227345466614,106.88626551628113,97.95201802253723,98.76827478408813,0.8264361844279219,24.42689614822825,8.35864874742304,0.0,0.8264361844279219
1400,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,97.9541962146759,4,97.9541962146759,128.712543964386,106.97334742546082,98.03446960449219,97.9541962146759,0.0,23.8969309457676,8.431213407685002,0.08188282156280044,0.0
1600,"[3, 4, 2, 1]","[3, 4, 2, 1]",3,3,97.95688581466675,4,98.79661512374878,129.53324723243713,107.70646047592163,97.95688581466675,98.79661512374878,0.8499575699331593,24.37703222332496,9.051986870773137,0.0,0.8499575699331593
2000,"[3, 4, 2, 1]","[3, 4, 2, 1]",3,3,97.14430022239685,4,97.95104694366455,129.56769347190857,107.75496101379395,97.14430022239685,97.95104694366455,0.8236223567183428,25.02428837057395,9.847027637120858,0.0,0.8236223567183428
