power_cap,pred_rank,true_rank,pred_optimal_gpu,true_optimal_gpu,selected_target,max_gpu,max_gpu_target,target_1gpu,target_2gpu,target_3gpu,target_4gpu,improve_vs_max_gpu_pct,improve_vs_1gpu_pct,improve_vs_2gpu_pct,improve_vs_3gpu_pct,improve_vs_4gpu_pct
800,"[3, 2, 4, 1]","[3, 2, 4, 1]",3,3,22.698745727539066,4,28.501604080200195,40.56253600120544,24.37288069725037,22.698745727539066,28.501604080200195,20.35976058165906,44.04012183344625,6.868843246338835,0.0,20.35976058165906
900,"[3, 4, 2, 1]","[3, 4, 2, 1]",3,3,21.5252206325531,4,23.71467661857605,40.58788299560547,24.91255283355713,21.5252206325531,23.71467661857605,9.232493536546547,46.966387394770805,13.596889181269702,0.0,9.232493536546547
1000,"[3, 4, 2, 1]","[3, 4, 2, 1]",3,3,19.701383352279663,4,22.177355527877808,40.59061217308045,24.79831075668335,19.701383352279663,22.177355527877808,11.164415759515377,51.46320220973275,20.55352662692971,0.0,11.164415759515377
1200,"[3, 4, 2, 1]","[3, 4, 2, 1]",3,3,18.846687793731693,4,18.9927339553833,40.566725254058845,24.85365843772888,18.846687793731693,18.9927339553833,0.7689580762553274,53.541510497335466,24.16936186295357,0.0,0.7689580762553274
1400,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,15.91532278060913,4,15.91532278060913,40.57395482063294,24.895438194274906,19.77878189086914,15.91532278060913,0.0,60.774534178473125,36.07132898641203,19.533352112263156,0.0
1600,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,16.474889993667606,4,16.474889993667606,41.08024263381958,24.88709926605225,18.79486870765686,16.474889993667606,0.0,59.89583084861202,33.80148559080764,12.343681406213367,0.0
2000,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,17.51437020301819,4,17.51437020301819,40.57556939125061,25.015536546707157,20.719728946685787,17.51437020301819,0.0,56.83518317602502,29.98603020040504,15.470080481821698,0.0
