Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W),GPU1_SM_Clock (MHz),GPU1_DRAM_Active,GPU1_FP16_Active,GPU1_FP32_Active,GPU1_FP64_Active,GPU1_Power (W),GPU2_SM_Clock (MHz),GPU2_DRAM_Active,GPU2_FP16_Active,GPU2_FP32_Active,GPU2_FP64_Active,GPU2_Power (W),GPU3_SM_Clock (MHz),GPU3_DRAM_Active,GPU3_FP16_Active,GPU3_FP32_Active,GPU3_FP64_Active,GPU3_Power (W)
0.20010924339294434,345.0,0.0,0.0,0.0,0.0,75,345.0,0.0,0.0,0.0,0.0,69,345.0,0.0,0.0,0.0,0.0,68,345.0,0.0,0.0,0.0,0.0,69
1.013540267944336,345.0,0.0,0.0,0.0,0.0,75,345.0,0.0,0.0,0.0,0.0,69,345.0,0.0,0.0,0.0,0.0,68,345.0,0.0,0.0,0.0,0.0,69
1.8242313861846924,345.0,0.0,0.0,0.0,0.0,75,345.0,0.0,0.0,0.0,0.0,69,345.0,0.0,0.0,0.0,0.0,68,345.0,0.0,0.0,0.0,0.0,69
2.7378697395324707,345.0,0.0,0.0,0.0,0.0,75,345.0,0.0,0.0,0.0,0.0,69,345.0,0.0,0.0,0.0,0.0,68,345.0,0.0,0.0,0.0,0.0,69
3.8856496810913086,345.0,0.0,0.0,0.0,0.0,74,345.0,0.0,0.0,0.0,0.0,69,840.0,0.0,0.0,0.0,0.0,69,345.0,0.0,0.0,0.0,0.0,69
4.947506666183472,1965.0,0.0,0.0,0.0,0.0,79,345.0,0.0,0.0,0.0,0.0,69,840.0,0.0,0.0,0.0,0.0,71,345.0,0.0,0.0,0.0,0.0,69
5.763576984405518,1980.0,0.0,0.0,0.0,0.0,121,1980.0,0.0,0.0,0.0,0.0,95,1980.0,0.0,0.0,0.0,0.0,87,1965.0,0.0,0.0,0.0,0.0,76
6.739569664001465,1980.0,0.0,0.0,0.0,0.0,128,1980.0,0.0,0.0,0.0,0.0,112,1980.0,0.0,0.0,0.0,0.0,109,1980.0,0.0,0.0,0.0,0.0,113
7.562055587768555,1560.0,0.066,0.0,0.003,0.0,157,1020.0,0.065,0.0,0.002,0.0,152,750.0,0.127,0.0,0.004,0.0,148,930.0,0.123,0.0,0.004,0.0,146
8.374276876449585,345.0,0.228,0.0,0.029,0.0,200,345.0,0.26,0.0,0.022,0.0,195,345.0,0.229,0.0,0.018,0.0,195,345.0,0.242,0.0,0.021,0.0,194
9.185910940170288,345.0,0.227,0.0,0.029,0.0,199,495.0,0.272,0.0,0.025,0.0,193,675.0,0.269,0.0,0.023,0.0,192,345.0,0.271,0.0,0.027,0.0,188
9.997055292129517,345.0,0.229,0.0,0.032,0.0,198,1365.0,0.227,0.0,0.019,0.0,194,1695.0,0.186,0.0,0.014,0.0,192,480.0,0.197,0.0,0.018,0.0,191
10.808444499969482,345.0,0.211,0.0,0.031,0.0,200,1350.0,0.192,0.0,0.014,0.0,196,1140.0,0.246,0.0,0.018,0.0,193,930.0,0.242,0.0,0.021,0.0,193
11.619300127029419,510.0,0.22,0.0,0.029,0.0,199,555.0,0.245,0.0,0.02,0.0,195,1035.0,0.221,0.0,0.014,0.0,192,345.0,0.241,0.0,0.021,0.0,196
12.430083513259888,345.0,0.223,0.0,0.031,0.0,200,345.0,0.212,0.0,0.015,0.0,194,480.0,0.248,0.0,0.015,0.0,191,480.0,0.188,0.0,0.013,0.0,195
13.243956089019775,375.0,0.233,0.0,0.031,0.0,199,450.0,0.244,0.0,0.016,0.0,191,1755.0,0.227,0.0,0.015,0.0,191,870.0,0.224,0.0,0.018,0.0,194
14.055107593536377,375.0,0.208,0.0,0.029,0.0,199,915.0,0.226,0.0,0.019,0.0,193,345.0,0.231,0.0,0.017,0.0,191,1545.0,0.235,0.0,0.018,0.0,194
14.870441198348999,1965.0,0.203,0.0,0.027,0.0,185,1965.0,0.213,0.0,0.016,0.0,175,1965.0,0.172,0.0,0.007,0.0,176,1965.0,0.171,0.0,0.009,0.0,174
15.681689977645874,510.0,0.055,0.0,0.002,0.0,180,540.0,0.114,0.0,0.006,0.0,167,615.0,0.088,0.0,0.003,0.0,164,405.0,0.094,0.0,0.004,0.0,163
16.49251365661621,345.0,0.236,0.0,0.031,0.0,208,345.0,0.222,0.0,0.019,0.0,203,1905.0,0.25,0.0,0.019,0.0,198,1335.0,0.25,0.0,0.022,0.0,194
17.302776098251343,405.0,0.216,0.0,0.029,0.0,199,615.0,0.22,0.0,0.014,0.0,190,345.0,0.219,0.0,0.014,0.0,192,1710.0,0.225,0.0,0.018,0.0,188
18.113192796707153,435.0,0.21,0.0,0.03,0.0,201,1005.0,0.219,0.0,0.014,0.0,194,855.0,0.202,0.0,0.012,0.0,192,345.0,0.201,0.0,0.014,0.0,196
18.923435926437378,345.0,0.217,0.0,0.031,0.0,199,570.0,0.196,0.0,0.015,0.0,193,1365.0,0.245,0.0,0.015,0.0,190,420.0,0.193,0.0,0.016,0.0,192
19.733682870864868,345.0,0.222,0.0,0.032,0.0,201,480.0,0.234,0.0,0.015,0.0,196,345.0,0.227,0.0,0.014,0.0,195,420.0,0.185,0.0,0.011,0.0,195
20.54430627822876,390.0,0.184,0.0,0.015,0.0,199,435.0,0.163,0.0,0.008,0.0,193,345.0,0.162,0.0,0.008,0.0,190,540.0,0.184,0.0,0.01,0.0,194
21.355314254760742,390.0,0.215,0.0,0.032,0.0,200,420.0,0.2,0.0,0.017,0.0,196,1845.0,0.205,0.0,0.014,0.0,191,1335.0,0.238,0.0,0.021,0.0,194
22.165727615356445,375.0,0.207,0.0,0.03,0.0,200,345.0,0.211,0.0,0.015,0.0,196,690.0,0.223,0.0,0.014,0.0,193,1710.0,0.228,0.0,0.019,0.0,190
22.9762704372406,345.0,0.225,0.0,0.033,0.0,198,1320.0,0.242,0.0,0.019,0.0,190,990.0,0.215,0.0,0.014,0.0,194,1860.0,0.215,0.0,0.016,0.0,191
23.78781294822693,1965.0,0.221,0.0,0.021,0.0,173,1965.0,0.231,0.0,0.014,0.0,159,1965.0,0.216,0.0,0.015,0.0,160,1950.0,0.222,0.0,0.02,0.0,165
24.600467681884766,345.0,0.238,0.0,0.029,0.0,195,1080.0,0.247,0.0,0.024,0.0,184,900.0,0.25,0.0,0.021,0.0,183,1185.0,0.248,0.0,0.024,0.0,182
25.411407470703125,465.0,0.213,0.0,0.029,0.0,199,1380.0,0.195,0.0,0.012,0.0,195,1365.0,0.205,0.0,0.013,0.0,190,1155.0,0.2,0.0,0.014,0.0,193
26.221792936325073,495.0,0.212,0.0,0.031,0.0,197,975.0,0.191,0.0,0.016,0.0,198,1275.0,0.231,0.0,0.014,0.0,192,390.0,0.225,0.0,0.017,0.0,193
27.032003164291382,345.0,0.227,0.0,0.031,0.0,198,345.0,0.303,0.0,0.017,0.0,198,345.0,0.245,0.0,0.016,0.0,193,540.0,0.185,0.0,0.012,0.0,194
27.84213638305664,345.0,0.223,0.0,0.031,0.0,199,345.0,0.185,0.0,0.011,0.0,193,345.0,0.228,0.0,0.015,0.0,194,900.0,0.213,0.0,0.014,0.0,196
28.652358293533325,345.0,0.217,0.0,0.031,0.0,201,450.0,0.185,0.0,0.012,0.0,197,1845.0,0.206,0.0,0.013,0.0,192,1425.0,0.235,0.0,0.016,0.0,196
29.4624662399292,345.0,0.209,0.0,0.031,0.0,200,585.0,0.191,0.0,0.013,0.0,195,1875.0,0.228,0.0,0.015,0.0,192,1410.0,0.228,0.0,0.017,0.0,193
30.272179126739502,345.0,0.198,0.0,0.03,0.0,199,345.0,0.229,0.0,0.017,0.0,196,345.0,0.2,0.0,0.012,0.0,193,1710.0,0.206,0.0,0.016,0.0,189
31.082507848739624,450.0,0.221,0.0,0.033,0.0,199,1245.0,0.231,0.0,0.019,0.0,190,870.0,0.212,0.0,0.014,0.0,194,1335.0,0.206,0.0,0.017,0.0,192
