power_cap,pred_rank,true_rank,pred_optimal_gpu,true_optimal_gpu,top1_correct,kendall_tau,best_runtime,worst_runtime,speedup_vs_worst
800,"[4, 3, 1, 2]","[3, 4, 1, 2]",4,3,0,0.6666666666666666,0.0,79.35288858413696,inf
900,"[3, 1, 2]","[3, 1, 2]",3,3,1,1.0,0.0,79.35300755500793,inf
1000,"[4, 1, 2]","[4, 1, 2]",4,4,1,1.0,0.0,79.35024952888489,inf
1200,"[4, 3, 1, 2]","[3, 4, 1, 2]",4,3,0,0.6666666666666666,0.0,79.36249327659607,inf
1400,"[1, 2]","[1, 2]",1,1,1,1.0,56.70649313926697,79.39016723632812,1.4000189897363557
1600,"[4, 1, 2]","[4, 1, 2]",4,4,1,1.0,0.0,80.18861174583435,inf
2000,"[1, 2]","[1, 2]",1,1,1,1.0,55.06280755996704,79.40448689460754,1.4420711622474172
