power_cap,pred_rank,true_rank,pred_optimal_gpu,true_optimal_gpu,selected_target,max_gpu,max_gpu_target,target_1gpu,target_2gpu,target_3gpu,target_4gpu,improve_vs_max_gpu_pct,improve_vs_1gpu_pct,improve_vs_2gpu_pct,improve_vs_3gpu_pct,improve_vs_4gpu_pct
800,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,21.97818660736084,4,21.97818660736084,55.58494377136231,29.44176459312439,22.556082248687744,21.97818660736084,0.0,60.46018019238488,25.35030793468995,2.562039076446996,0.0
900,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,20.82528042793274,4,20.82528042793274,54.71045732498169,29.47724914550781,21.49539446830749,20.82528042793274,0.0,61.93546636938167,29.35134372568679,3.1174772873452454,0.0
1000,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,19.543571710586548,4,19.543571710586548,54.7066330909729,29.39540123939514,21.315969467163086,19.543571710586548,0.0,64.27568174760984,33.51486665745989,8.314882226243046,0.0
1200,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,18.32616186141968,4,18.32616186141968,54.888699293136604,29.51341724395752,22.128746271133426,18.32616186141968,0.0,66.61214039059725,37.905659280537165,17.183912559357925,0.0
1400,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,18.428885459899906,4,18.428885459899906,55.34731984138489,29.32810378074646,21.316838741302487,18.428885459899906,0.0,66.7032016858022,37.1630515301223,13.547755914703341,0.0
1600,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,18.414880275726322,4,18.414880275726322,54.873860836029046,29.3692889213562,21.305596590042114,18.414880275726322,0.0,66.44143496526948,37.29885553226405,13.567873127133486,0.0
2000,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,18.47091555595398,4,18.47091555595398,54.86453652381897,29.410476207733154,21.44650363922119,18.47091555595398,0.0,66.33359775501796,37.196135739219145,13.87446706150032,0.0
