power_cap,pred_rank,true_rank,pred_optimal_gpu,true_optimal_gpu,selected_target,max_gpu,max_gpu_target,target_1gpu,target_2gpu,target_3gpu,target_4gpu,improve_vs_max_gpu_pct,improve_vs_1gpu_pct,improve_vs_2gpu_pct,improve_vs_3gpu_pct,improve_vs_4gpu_pct
800,"[2, 1, 3, 4]","[2, 1, 3, 4]",2,2,4.860593795776367,4,393.7635688781738,7.292028188705444,4.860593795776367,22.088518619537354,393.7635688781738,98.76560601844805,33.34373277238703,0.0,77.99493085300361,98.76560601844805
900,"[2, 1, 3, 4]","[2, 1, 3, 4]",2,2,4.869896650314331,4,392.26594638824463,6.480488538742065,4.869896650314331,21.18947434425354,392.26594638824463,98.75852168786164,24.852939385652675,0.0,77.01737867020275,98.75852168786164
1000,"[2, 1, 3, 4]","[2, 1, 3, 4]",2,2,4.053678750991821,4,389.80517578125,6.488738059997559,4.053678750991821,14.716744184494019,389.80517578125,98.96007569861857,37.527471235395396,0.0,72.45532911238008,98.96007569861857
1200,"[2, 1, 3, 4]","[2, 1, 3, 4]",2,2,4.8643505573272705,4,390.42513966560364,7.295060634613037,4.8643505573272705,26.93159770965576,390.42513966560364,98.75408879625591,33.319943438889624,0.0,81.93812855156655,98.75408879625591
1400,"[2, 1, 3, 4]","[2, 1, 3, 4]",2,2,4.8650524616241455,4,388.0303235054016,7.3116443157196045,4.8650524616241455,13.845948219299316,388.0303235054016,98.74621848682493,33.461581943140075,0.0,64.86298818564885,98.74621848682493
1600,"[2, 1, 3, 4]","[2, 1, 3, 4]",2,2,4.864515781402588,4,384.0990993976593,6.481132745742798,4.864515781402588,32.6078200340271,384.0990993976593,98.7335258559494,24.94343238690956,0.0,85.08175101455313,98.7335258559494
2000,"[2, 1, 3, 4]","[2, 1, 3, 4]",2,2,4.088244199752808,4,381.4639456272125,7.308943510055542,4.088244199752808,15.510054111480713,381.4639456272125,98.92827507117853,44.06518268846573,0.0,73.6413285835886,98.92827507117853
