power_cap,pred_rank,true_rank,pred_optimal_gpu,true_optimal_gpu,selected_target,max_gpu,max_gpu_target,target_1gpu,target_2gpu,target_3gpu,target_4gpu,improve_vs_max_gpu_pct,improve_vs_1gpu_pct,improve_vs_2gpu_pct,improve_vs_3gpu_pct,improve_vs_4gpu_pct
800,"[3, 2, 4, 1]","[3, 2, 4, 1]",3,3,21.6975691318512,4,24.673083066940308,36.514740705490105,22.816626787185672,21.6975691318512,24.673083066940308,12.059757295090643,40.57860274333291,4.904570976998934,0.0,12.059757295090643
900,"[3, 4, 2, 1]","[3, 4, 2, 1]",3,3,21.534262657165527,4,21.58995246887207,36.40554308891296,22.411689281463623,21.534262657165527,21.58995246887207,0.25794318809564465,40.84894543511526,3.9150401082162167,0.0,0.25794318809564465
1000,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,19.07548975944519,4,19.07548975944519,37.094592571258545,25.07932829856873,19.56069231033325,19.07548975944519,0.0,48.5760903754334,23.939391309240833,2.4804978432779805,0.0
1200,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,16.757178783416748,4,16.757178783416748,36.485830545425415,21.90348744392395,18.48874568939209,16.757178783416748,0.0,54.07209173283364,23.495384804280533,9.365518543363532,0.0
1400,"[3, 4, 2, 1]","[3, 4, 2, 1]",3,3,18.57499623298645,4,18.85929107666016,36.47183585166931,21.96256375312805,18.57499623298645,18.85929107666016,1.507452440911454,49.07030096173161,15.424280872760686,0.0,1.507452440911454
1600,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,15.84210968017578,4,15.84210968017578,36.309542894363396,21.422914028167728,20.24596691131592,15.84210968017578,0.0,56.36929463346378,26.050631303724963,21.75177530631411,0.0
2000,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,18.34270977973938,4,18.34270977973938,36.370692253112786,21.71706604957581,18.53150963783264,18.34270977973938,0.0,49.567333906960435,15.537809122712224,1.018804521504395,0.0
