power_cap,pred_rank,true_rank,pred_optimal_gpu,true_optimal_gpu,selected_target,max_gpu,max_gpu_target,target_1gpu,target_2gpu,target_3gpu,target_4gpu,improve_vs_max_gpu_pct,improve_vs_1gpu_pct,improve_vs_2gpu_pct,improve_vs_3gpu_pct,improve_vs_4gpu_pct
400,"[1, 2]","[1, 2]",1,1,9775.75,2,5897.93,9775.75,5897.93,,,65.74883052189496,0.0,65.74883052189496,nan,nan
500,"[1, 2]","[1, 2]",1,1,10411.83,2,6641.72,10411.83,6641.72,,,56.764061116698684,0.0,56.764061116698684,nan,nan
600,"[1, 2, 3]","[1, 2, 3]",1,1,10426.82,3,5814.88,10426.82,6946.34,5814.88,,79.3127287235506,0.0,50.10523527497933,79.3127287235506,nan
700,"[1, 2, 3]","[1, 2, 3]",1,1,10403.32,3,6471.97,10403.32,6999.97,6471.97,,60.744255613051344,0.0,48.61949408354606,60.744255613051344,nan
800,"[2, 3, 4]","[2, 3, 4]",2,2,6993.72,4,4081.94,,6993.72,6844.7,4081.94,71.33323860713288,nan,0.0,2.1771589697138,71.33323860713288
900,"[2, 3, 4]","[2, 3, 4]",2,2,7095.5,4,4087.52,,7095.5,7006.44,4087.52,73.58936470035621,nan,0.0,1.2711162873014028,73.58936470035621
1000,"[2, 3, 4]","[2, 3, 4]",2,2,7034.65,4,4017.39,,7034.65,6990.48,4017.39,75.10498109469083,nan,0.0,0.6318593286870154,75.10498109469083
1200,"[2, 3, 4]","[2, 3, 4]",2,2,7015.47,4,4131.75,,7015.47,6999.51,4131.75,69.79415501905973,nan,0.0,0.22801596111727873,69.79415501905973
1400,"[2, 3, 4]","[2, 3, 4]",2,2,7032.81,4,4204.85,,7032.81,7029.72,4204.85,67.25471776638881,nan,0.0,0.043956231542652414,67.25471776638881
1600,"[3, 4]","[3, 4]",3,3,7079.92,4,4225.19,,,7079.92,4225.19,67.56453555934765,nan,nan,0.0,67.56453555934765
1800,"[3, 4]","[3, 4]",3,3,7010.45,4,4240.41,,,7010.45,4240.41,65.32481528908761,nan,nan,0.0,65.32481528908761
